rank,school,p2000,p2001,p2004,p2005,p2006,p2007,p2008,p2010,p2011,p2012,p2013,p2014,p2015,pAverage
1,Mt. St. Mary's Namagunga,99.3,99.3,100,99.3,97.9,98.6,99.3,100,99,99.3,99.3,97.2,100,99.1
2,Uganda Martyrs SS Namugongo,100,100,100,98.9,100,99.5,98.3,97.9,97,97,98.77,98.16,96.1,98.6
3,St. Marys SS Kitende,,,97,98,98,97,98,96.9,97,97.3,98,99.77,99.8,97.9
4,St. Marys Col. Kisubi,96.9,97.4,98.9,97.1,96.1,98.3,100,98.4,98,99,96.38,95.48,86.7,96.8
5,St. Henrys Col. Kitovu,93.4,95.1,100,98.7,98.5,98.4,94.3,97.4,,95.7,91.53,85.91,91.7,95.1
6,Namilyango Col.,89.3,96.5,97.3,97,97.5,89.3,96.3,94.4,100,94.5,85,90.41,92.7,93.9
7,Gayaza HS,98.1,98.1,95.6,93.6,93.9,86.2,86,95.8,99,86.6,97.03,94.05,88.4,93.2
8,Kings Col. Budo,92.9,93.8,98.2,95.8,92.4,87.7,88.9,94.8,97,81.3,85.99,91.24,89.8,91.5
9,Nabisunsa Girls Sch,97.9,89.5,94.7,98.6,91,96.6,93.4,93.2,86,86.3,80.09,87.94,88,91
10,Ntare Sch.,86.1,80.2,92.4,97.3,99.1,89.9,89.2,92.3,96,96.8,85.5,90.95,80.2,90.5
11,St. Josephs SS Naggalama,81,78.7,96.7,99.2,97.3,84.9,80.7,94,87.7,86.7,84.85,87.67,97.1,89
12,St. Josephs Girls Nsambya,88.5,69.6,89.2,89.3,93.4,82.1,91.1,91.9,95,83,81.52,94.05,93.7,87.9
13,Maryhill HS,85.1,90.5,88.2,99.2,92.6,83.6,82,91.5,90,83,69.87,94.09,84.7,87.3
14,Trinity Col. Nabbingo,94.2,86.2,92.3,96.6,81.3,80.5,91,82.3,89,84,76.15,78.35,90.5,86.3
15,The Academy St Lawrence,,,,,,,,,,,82.35,91.3,85,86.2
16,Ndejje SS ,92.8,92.1,92,91.3,74,76.1,80.1,83.2,89,88.6,75.55,77.27,80.2,84
17,St.Pauls Sem. Kabale,97.1,65.7,95,97.6,90,78.3,52.8,80.7,,,75,95.35,90.6,83.5
18,Seeta HS Mukono,,,,,,,70.6,70,86,88,83.04,91.59,94.5,83.4
19,Nsambya Hillside SS,,,,,,,,79,79,84,86,85,80,82.2
20,St. Charles Lwanga Sem.,,,,,,,,,,,82.35,90.63,69.4,80.8
21,Kitabi Sem.,100,86,81.5,57.7,72.4,75,96.9,72.2,97,61.8,69.23,94.94,77.2,80.1
22,Kisubi Sem.,96.3,50,66.7,74.3,100,77.1,79.5,87.8,88,93.6,70.21,79.49,77.2,80
23,Immaculate Heart Girls ,90.9,68.1,90.4,82.5,66.2,63.4,79.4,59.9,78.4,86.9,87.79,89.95,80.3,78.8
24,Seeta HS,,38.8,58.3,82.8,92.9,72.8,66.3,87.5,81,91.4,87.22,93.06,91.7,78.6
25,Kibuli SS ,93.7,93,81.6,85.7,99.6,75.8,73.7,80.2,83.9,84,59.49,56.85,52.4,78.5
26,Bukalasa Minor Sem,95.8,82.9,92.3,80,100,60.4,67.7,63,90,86,39.29,58.06,100,78.1
27,Our Lady Of Africa SS Namilyango,SS,Namilyango,,,,,,,,,60.4,87.38,86.1,78
28,Light Academy SS ,,,,70,70,73,82,80,78,85.1,80,80,80,77.8
29,St. Joseph Of Nazareth HS,HS,,,,,,,,,,71.05,72.31,89.3,77.5
30,Mbarara HS ,58.4,68.6,74.3,90.5,90.9,87,84.2,78.2,85,79.3,69.87,71.83,65.4,77.2
31,Makerere Col. Sch.,91.8,84.9,87.6,88.3,75.2,68,70.4,70.9,71,67.4,70,78.48,70,76.5
32,London Col. Of St.lawrence,,,71.4,71.9,40.4,39.7,45.2,86.8,83,94.1,100,100,97.3,75.4
33,Kawempe Muslim SS,85.3,90.8,84.3,87.7,87.2,61.9,75.2,68.8,82.4,13.5,85.17,81.51,77,75.4
34,Buddo SS ,68,70,76,77,80,72,89,80,80,80,70,60,68,74.6
35,Naalya SS Namugongo,64.2,61.5,88.2,81.1,50,62,68.9,60.2,85,85,77.59,89.09,80,73.3
36,Bweranyangi Girls Sch,91.3,66.5,67.9,86.4,87.8,65.6,48.2,59.4,85,64.8,70.4,66.17,66.5,71.2
37,St. Joseph's Voc. Sch. Mbarara,92.5,80.9,67.1,74.4,69,25,32.4,80,,84.3,82.14,87.5,77.9,71.1
