id,parish,division,pop_12,dist_12,pop_13,dist_13
1,Banda,Nakawa,17700,1.03,2583,0.15
2,Bugolobi,Nakawa,12700,0.74,13394,0.76
3,Bukasa,Makindye,28500,1.65,29656,1.67
4,Bukesa,Central,11400,0.66,11862,0.67
5,Bukoto I,Nakawa,26100,1.51,27186,1.53
6,Bukoto II,Nakawa,30100,1.75,31396,1.77
7,Busega,Rubaga,32600,1.89,33744,1.9
8,Butabika,Nakawa,17100,0.99,17678,1
9,Buziga,Makindye,13900,0.81,14572,0.82
10,Bwaise I,Kawempe,26100,1.51,27076,1.53
11,Bwaise II,Kawempe,24400,1.42,25226,1.42
12,Bwaise III,Kawempe,15300,0.89,15856,0.89
13,Civic Centre,Central,1900,0.11,1936,0.11
14,Ggaba,Makindye,29400,1.71,30408,1.71
15,Industrial Area,Central,700,0.04,770,0.04
16,ITEK,Nakawa,200,0.01,0,0
17,Kabalagala,Makindye,18300,1.06,18972,1.07
18,Kabowa,Rubaga,41100,2.39,42710,2.41
19,Kagugube,Central,10900,0.63,11333,0.64
20,Kamwokya I,Central,4200,0.24,4424,0.25
21,Kamwokya II,Central,22100,1.28,22978,1.3
22,Kansanga-Muyenga,Makindye,27300,1.58,28358,1.6
23,Kanyanya,Kawempe,27200,1.58,28263,1.59
24,Kasubi,Rubaga,63200,3.67,65693,3.7
25,Katwe I,Makindye,13300,0.77,13686,0.77
26,Katwe II,Makindye,18900,1.1,19513,1.1
27,Kawempe I,Kawempe,52700,3.06,54799,3.09
28,Kawempe II,Kawempe,19000,1.1,19859,1.12
29,Kazo,Kawempe,21300,1.24,22092,1.25
30,Kibuli,Makindye,32700,1.9,34092,1.92
31,Kibuye I,Makindye,33800,1.96,35177,1.98
32,Kibuye II,Makindye,14000,0.81,14681,0.83
33,Kikaya,Kawempe,21100,1.22,21896,1.23
34,Kisenyi I,Central,5000,0.29,5170,0.29
35,Kisenyi II,Central,15700,0.91,16402,0.92
36,Kisenyi III,Central,7200,0.42,7431,0.42
37,Kisugu,Makindye,25700,1.49,26636,1.5
38,Kiswa,Nakawa,6500,0.38,6803,0.38
39,Kiwatule,Nakawa,14400,0.84,15647,0.88
40,Kololo I,Central,2500,0.15,2586,0.15
41,Kololo II,Central,2100,0.12,2162,0.12
42,Kololo III,Central,3700,0.21,3772,0.21
43,Kololo IV,Central,4300,0.25,4408,0.25
44,Komamboga,Kawempe,8300,0.48,8517,0.48
45,Kyambogo,Nakawa,2900,0.17,2951,0.17
46,Kyambogo Institutions,Nakawa,1700,0.1,3365,0.19
47,Kyanja,Nakawa,12100,0.7,12387,0.7
48,Kyebando,Kawempe,47800,2.77,49730,2.8
49,Lubya,Rubaga,50500,2.93,52408,2.95
50,Lukuli,Makindye,24300,1.41,25236,1.42
51,Lungujja,Rubaga,28100,1.63,29234,1.65
52,Luwafu,Makindye,16300,0.95,16946,0.96
53,Luzira,Nakawa,22400,1.3,23182,1.31
54,Luzira Prisons,Nakawa,13700,0.8,14350,0.81
55,Makerere I,Kawempe,9800,0.57,10133,0.57
56,Makerere II,Kawempe,17100,0.99,17810,1
57,Makerere III,Kawempe,19600,1.14,20463,1.15
58,Makerere University,Kawempe,6700,0.39,6976,0.39
59,Makindye I,Makindye,19400,1.13,20177,1.14
60,Makindye II,Makindye,20600,1.2,21346,1.2
61,Mbuya I,Nakawa,27400,1.59,28360,1.6
62,Mbuya II,Nakawa,13600,0.79,14121,0.8
63,Mengo,Central,18400,1.07,19692,1.11
64,Mpererwe,Kawempe,4200,0.24,4421,0.25
65,Mulago I,Kawempe,11500,0.67,11982,0.68
66,Mulago II,Kawempe,19800,1.15,20602,1.16
67,Mulago III,Kawempe,19400,1.13,20164,1.14
68,Mutundwe,Rubaga,39100,2.27,40550,2.29
69,Mutungo,Nakawa,63200,3.67,64899,3.66
70,Nabisunsa,Nakawa,1100,0.06,0,0
71,Naguru I,Nakawa,5600,0.32,5827,0.33
72,Naguru II,Nakawa,37900,2.2,39243,2.21
73,Najjanankumbi I,Rubaga,17700,1.03,18447,1.04
74,Najjanankumbi II,Rubaga,15600,0.91,16179,0.91
75,Nakasero I,Central,1600,0.09,1674,0.09
76,Nakasero II,Central,5000,0.29,5133,0.29
77,Nakasero III,Central,1900,0.11,1996,0.11
78,Nakasero IV,Central,1600,0.09,1699,0.1
79,Nakawa,Nakawa,8500,0.49,8964,0.51
80,Nakawa Institutions,Nakawa,200,0.01,235,0.01
81,Nakivubo,Central,1800,0.1,1833,0.1
82,Nakulabye,Rubaga,28700,1.67,29767,1.68
83,Namirembe,Rubaga,22100,1.28,22978,1.3
84,Nateete,Rubaga,34500,2,35923,2.03
85,Ndeeba,Rubaga,24200,1.4,25249,1.42
86,Nsambya Central,Makindye,43800,2.54,45504,2.57
87,Nsambya Estate,Makindye,1000,0.06,1109,0.06
88,Nsambya Police,Makindye,10900,0.63,11313,0.64
89,Nsambya Railway,Makindye,5700,0.33,5953,0.34
90,Ntinda,Nakawa,13100,0.76,13698,0.77
91,Old Kampala,Central,5600,0.32,5813,0.33
92,Rubaga,Rubaga,30300,1.76,31397,1.77
93,Salaama,Makindye,15400,0.89,15965,0.9
94,UPK,Nakawa,500,0.03,0,0
95,Wabigalo,Makindye,26100,1.51,26191,1.48
96,Wandegeya,Kawempe,8600,0.5,8846,0.5
