Type,Month,ColdRoom No.,Name,Min,Max,MKT,Notes/affected vaccine
WICR,JAN, 1 , WICR-1 , 2.5 , 12.2 , 4.8 ,
WICR,JAN, 2 , WICR-2 , 3.1 , 7.0 , 5.3 ,
WICR,JAN, 3 , WICR-3 , 2.5 , 8.3 , 4.8 ,
WICR,JAN, 5 , WICR-5 , 3.7 , 6.6 , 4.9 ,
WICR,JAN, 6 , WICR-6 , 3.6 , 9.3 , 5.4 ,
WICR,JAN, 7 , WICR-7 , 2.8 , 8.5 , 3.3 ,
WICR,JAN, 9 , WICR-9 , 3.2 , 7.5 , 5.2 ,
WICR,JAN, 10 , WICR-10 , 2.9 , 6.7 , 4.7 ,
WICR,JAN, 11 , WICR-11 , 4.0 , 9.6 , 5.4 ,
WICR,JAN, 12 , WICR-12 , 2.7 , 29.0 , 15.5 ,CR switched off after exhausiting stock 
WICR,JAN, 13 , WICR-13 , 2.4 , 12.1 , 4.7 ,
WICR,JAN, 14 , WICR-14 , 3.1 , 7.4 , 4.7 ,
WICR,JAN, 15 , WICR-15 , 4.1 , 7.2 , 5.4 ,
WICR,JAN, 16 , WICR-16 , 3.0 , 7.2 , 5.0 ,
WICR,JAN, 17 , WICR-17 , 3.0 , 6.8 , 5.0 ,
WICR,JAN, 19 , WICR-19 , 2.9 , 28.6 , 14.7 ,CR switched off after exhausiting stock
WICR,FEB, 1 , WICR-1 , 3.4 , 6.3 , 4.9 ,
WICR,FEB, 2 , WICR-2 , 2.2 , 7.9 , 4.8 ,
WICR,FEB, 3 , WICR-3 , 3.1 , 9.3 , 4.8 ,
WICR,FEB, 5 , WICR-5 , 3.7 , 6.3 , 4.9 ,
WICR,FEB, 6 , WICR-6 , 3.6 , 6.7 , 5.3 ,
WICR,FEB, 7 , WICR-7 , 1.9 , 6.0 , 3.2 ,
WICR,FEB, 9 , WICR-9 , 3.5 , 6.6 , 5.2 ,
WICR,FEB, 10 , WICR-10 , 2.8 , 5.9 , 4.7 ,
WICR,FEB, 11 , WICR-11 , 2.6 , 12.4 , 4.9 ,
WICR,FEB, 12 , WICR-12 , 21.5 , 25.8 , 23.6 ,CR switched off after exhausiting stock
WICR,FEB, 13 , WICR-13 , 2.9 , 8.4 , 4.9 ,
WICR,FEB, 14 , WICR-14 , 3.2 , 6.6 , 4.7 ,
WICR,FEB, 15 , WICR-15 , 4.1 , 6.6 , 5.5 ,
WICR,FEB, 16 , WICR-16 , 2.9 , 10.6 , 4.9 ,
WICR,FEB, 17 , WICR-17 , 2.7 , 14.5 , 4.9 ,
WICR,FEB, 19 , WICR-19 , 2.9 , 29.1 , 22.9 ,CR switched off after exhausiting stock
WICR,MAR, 1 , WICR-1 , 3.3 , 7.2 , 4.8 ,
WICR,MAR, 2 , WICR-2 , 3.4 , 7.1 , 5.8 ,
WICR,MAR, 3 , WICR-3 , 3.3 , 10.0 , 5.4 ,
WICR,MAR, 5 , WICR-5 , 3.5 , 6.6 , 5.2 ,
WICR,MAR, 6 , WICR-6 , 3.9 , 8.1 , 6.1 ,
WICR,MAR, 7 , WICR-7 , 1.9 , 4.5 , 2.7 ,
WICR,MAR, 9 , WICR-9 , 2.5 , 9.0 , 4.9 ,
WICR,MAR, 10 , WICR-10 , 2.7 , 8.4 , 4.7 ,
WICR,MAR, 11 , WICR-11 , 3.0 , 11.2 , 5.1 ,
WICR,MAR, 12 , WICR-12 , 3.2 , 25.6 , 21.2 ,CR switched off after exhausiting stock
WICR,MAR, 13 , WICR-13 , 3.1 , 11.7 , 5.1 ,
WICR,MAR, 14 , WICR-14 , 3.3 , 7.3 , 5.3 ,
WICR,MAR, 15 , WICR-15 , 4.1 , 7.2 , 5.5 ,
WICR,MAR, 16 , WICR-16 , 3.1 , 7.5 , 5.4 ,
WICR,MAR, 17 , WICR-17 , 3.1 , 15.7 , 5.0 ,
WICR,MAR, 19 , WICR-19 , 4.0 , 29.8 , 26.0 ,CR switched off after exhausiting stock
