rank,district,2011,2012,2013,2014,2015,avg,div1
1,BUGIRI,9.68,10.27,24.90,23.74,16.69,17.66,0.71
2,BUKWO,7.04,7.74,20.19,20.76,21.59,15.68,12.65
3,BUNDIBUGYO,11.09,10.50,20.03,17.20,18.68,15.67,15.34
4,BULAMBULI,13.89,13.37,15.41,15.04,15.32,14.65,12.39
5,SIRONKO,8.66,10.33,20.38,13.08,16.96,13.93,15.89
6,BUSIA,6.70,10.44,17.91,12.46,19.80,13.54,13.66
7,MANAFWA,9.53,11.37,16.90,14.48,13.71,13.31,14.03
8,BUYENDE,10.90,8.64,12.47,14.84,18.69,13.20,11.01
9,MBALE,7.40,10.59,14.56,13.63,16.60,12.64,9.15
10,ADJUMANI,6.98,9.33,15.85,16.95,12.68,12.36,9.71
11,BUTALEJA,6.82,7.95,13.60,14.22,18.23,12.34,7.60
12,BUDUDA,9.90,13.79,15.96,10.63,11.34,12.20,8.64
13,KWEEN,7.84,8.74,16.30,11.15,13.83,11.57,7.79
14,IGANGA,7.46,9.02,14.52,11.77,14.36,11.52,5.98
15,BULIISA,2.10,3.50,16.08,12.32,18.84,11.30,8.51
16,NAKAPIRIPIRIT,7.93,5.55,16.28,9.10,16.70,11.11,7.69
17,MAYUGE,5.17,6.08,14.13,11.64,15.13,10.80,8.80
18,NEBBI,7.10,11.43,14.22,10.50,10.32,10.78,8.39
19,ZOMBO,6.67,8.80,18.97,10.31,9.14,10.78,8.65
20,YUMBE,8.57,12.27,13.67,9.00,9.67,10.67,7.74
21,UGANDA,4.27,5.04,9.05,7.17,9.62,7.06,0
