district,redcat
ABIM,2
ADJUMANI,1
AGAGO,2
ALEBTONG,1
AMOLATAR,1
AMUDAT,2
AMURIA,2
AMURU,1
APAC,3
ARUA,2
BUDAKA,2
BUDUDA,3
BUGIRI,1
BUHWEJU,1
BUIKWE,2
BUKEDEA,4
BUKOMANSIMBI,4
BUKWO,1
BULAMBULI,3
BULIISA,2
BUNDIBUGYO,1
BUSHENYI,2
BUSIA,1
BUTALEJA,2
BUTAMBALA,1
BUVUMA,2
BUYENDE,2
DOKOLO,1
GOMBA,1
GULU,2
HOIMA,2
IBANDA,2
IGANGA,2
ISINGIRO,1
JINJA,2
KAABONG,1
KABALE,1
KABAROLE,2
KABERAMAIDO,1
KALANGALA,1
KALIRO,2
KALUNGU,4
KAMPALA,2
KAMULI,2
KAMWENGE,2
KANUNGU,1
KAPCHORWA,1
KASESE,1
KATAKWI,2
KAYUNGA,2
KIBAALE,1
KIBOGA,1
KIBUKU,2
KIRUHURA,1
KIRYANDONGO,2
KISORO,1
KITGUM,3
KOBOKO,1
KOLE,1
KOTIDO,2
KUMI,2
KWEEN,1
KYANKWANZI,1
KYEGEGWA,1
KYENJOJO,1
LAMWO,1
LIRA,1
LUUKA,2
LUWERO,1
LWENGO,2
LYANTONDE,1
MANAFWA,1
MARACHA,1
MASAKA,1
MASINDI,1
MAYUGE,2
MBALE,2
MBARARA,1
MITOOMA,3
MITYANA,1
MOROTO,2
MOYO,4
MPIGI,1
MUBENDE,1
MUKONO,1
NAKAPIRIPIRIT,1
NAKASEKE,2
NAKASONGOLA,3
NAMAYINGO,2
NAMUTUMBA,2
NAPAK,1
NEBBI,2
NGORA,1
NTOROKO,1
NTUNGAMO,4
NWOYA,2
OTUKE,1
OYAM,2
PADER,1
PALLISA,1
RAKAI,1
RUBIRIZI,1
RUKUNGIRI,1
SSEMBABULE,1
SERERE,1
SHEEMA,3
SIRONKO,2
SOROTI,1
TORORO,1
WAKISO,3
YUMBE,3
ZOMBO,1
