id,district,pop_16,dpt16,bcg16,mea16,polio16,ipv16,pcv16,hpv16,dpt_droprate16,pentapcv_gap16,score16,redcat
1,ABIM,"121,540",160,90,160,154,87,153,7,-20,8,100,2
2,ADJUMANI,"229,324",121,98,113,107,47,106,3,2,16,89,1
3,AGAGO,"236,066",121,87,104,189,51,119,1,-9,2,89,2
4,ALEBTONG,"240,462",88,78,74,89,45,85,1,7,3,100,1
5,AMOLATAR,"157,953",105,87,86,105,56,98,2,7,7,100,1
6,AMUDAT,"115,059",96,67,88,96,58,95,0,-5,2,78,2
7,AMURIA,"289,664",128,95,100,116,38,109,1,-2,19,78,2
8,AMURU,"196,914",93,85,91,90,37,78,1,7,16,67,1
9,APAC,"393,357",76,66,68,76,30,73,1,5,3,56,3
10,ARUA,"826,486",87,89,81,82,45,81,1,12,6,89,2
11,BUDAKA,"222,383",79,87,66,74,29,75,0,19,5,56,2
12,BUDUDA,"229,514",83,64,89,83,51,82,4,4,1,89,3
13,BUGIRI,"406,232",120,119,104,116,55,109,3,10,11,89,1
14,BUHWEJU,"128,321",98,75,73,99,66,96,4,3,2,100,1
15,BUIKWE,"440,714",85,86,76,78,34,80,1,17,5,78,2
16,BUKEDEA,"221,486",90,77,84,87,46,80,1,-1,10,100,4
17,BUKOMANSIMBI,"153,540",64,62,54,61,37,60,1,14,4,11,4
18,BUKWO,"98,515",101,83,94,101,56,100,2,3,2,100,1
19,BULAMBULI,"192,029",64,55,53,61,39,59,2,3,4,33,3
20,BULIISA,"124,285",79,81,61,76,59,70,2,15,9,78,2
21,BUNDIBUGYO,"237,590",121,93,118,155,46,112,1,1,9,89,1
22,BUSHENYI,"239,626",98,102,83,94,43,94,2,0,3,100,2
23,BUSIA,"343,373",90,87,75,87,44,75,3,4,14,100,1
24,BUTALEJA,"262,555",98,102,89,95,40,94,1,13,5,89,2
25,BUTAMBALA,"103,479",88,104,67,82,55,82,2,8,6,89,1
26,BUVUMA,"101,573",92,78,81,91,47,84,0,13,9,78,2
27,BUYENDE,"352,122",105,145,86,94,40,96,1,15,9,78,2
28,DOKOLO,"193,866",96,80,82,96,53,95,2,4,1,100,1
29,GOMBA,"164,756",103,78,85,101,50,102,2,6,2,100,1
30,GULU,"464,718",112,99,105,133,41,90,2,-1,22,89,2
31,HOIMA,"623,322",99,102,97,87,54,94,3,11,6,89,2
32,IBANDA,"259,201",111,95,89,99,38,104,7,0,7,89,2
33,IGANGA,"533,864",81,90,67,79,40,81,2,15,0,67,2
34,ISINGIRO,"522,008",129,105,107,140,46,118,4,10,10,89,1
35,JINJA,"486,442",112,110,102,111,39,110,2,11,2,78,2
36,KAABONG,"162,550",121,92,110,111,64,118,1,7,3,89,1
37,KABALE,"540,985",86,76,76,83,42,83,2,2,3,100,1
38,KABAROLE,"491,069",116,103,87,126,60,105,4,-8,10,100,2
39,KABERAMAIDO,"233,020",93,90,80,92,44,90,0,2,3,89,1
40,KALANGALA,"58,385",150,132,126,138,69,132,2,7,18,89,1
41,KALIRO,"253,022",107,118,88,102,41,100,1,23,7,78,2
42,KALUNGU,"187,285",69,73,59,69,42,66,2,11,2,44,4
43,KAMPALA,"1,567,966",114,137,110,102,55,96,2,11,18,78,2
