id,name,area,urban,agriculture,forest,unproductive
1,ABIM,121540,160,90,160,154
2,ADJUMANI,229324,121,98,113,107
3,AGAGO,236066,121,87,104,189
4,ALEBTONG,240462,88,78,74,89
5,AMOLATAR,157953,105,87,86,105
6,AMUDAT,115059,96,67,88,96
7,AMURIA,289664,128,95,100,116
8,AMURU,196914,93,85,91,90
9,APAC,393357,76,66,68,76
10,ARUA,826486,87,89,81,82
11,BUDAKA,222383,79,87,66,74
12,BUDUDA,229514,83,64,89,83
13,BUGIRI,406232,120,119,104,116
14,BUHWEJU,128321,98,75,73,99
15,BUIKWE,440714,85,86,76,78
16,BUKEDEA,221486,90,77,84,87
17,BUKOMANSIMBI,153540,64,62,54,61
18,BUKWO,98515,101,83,94,101
19,BULAMBULI,192029,64,55,53,61
20,BULIISA,124285,79,81,61,76
21,BUNDIBUGYO,237590,121,93,118,155
22,BUSHENYI,239626,98,102,83,94
23,BUSIA,343373,90,87,75,87
24,BUTALEJA,262555,98,102,89,95
25,BUTAMBALA,103479,88,104,67,82
26,BUVUMA,101573,92,78,81,91
27,BUYENDE,352122,105,145,86,94
28,DOKOLO,193866,96,80,82,96
29,GOMBA,164756,103,78,85,101
30,GULU,464718,112,99,105,133
31,HOIMA,623322,99,102,97,87
32,IBANDA,259201,111,95,89,99
33,IGANGA,533864,81,90,67,79
34,ISINGIRO,522008,129,105,107,140
35,JINJA,486442,112,110,102,111
36,KAABONG,162550,121,92,110,111
37,KABALE,540985,86,76,76,83
38,KABAROLE,491069,116,103,87,126
39,KABERAMAIDO,233020,93,90,80,92
40,KALANGALA,58385,150,132,126,138
41,KALIRO,253022,107,118,88,102
42,KALUNGU,187285,69,73,59,69
43,KAMPALA,1567966,114,137,110,102
44,KAMULI,510939,110,105,104,104
45,KAMWENGE,446551,125,127,128,114
46,KANUNGU,260790,103,90,92,95
47,KAPCHORWA,111375,119,110,102,116
48,KASESE,728752,100,92,88,92
49,KATAKWI,175670,130,79,101,127
50,KAYUNGA,382181,118,123,104,110
51,KIBAALE,873823,92,82,77,83
52,KIBOGA,156026,103,110,78,101
53,KIBUKU,217679,88,90,75,83
54,KIRUHURA,352124,87,76,73,79
55,KIRYANDONGO,281860,125,117,151,123
56,KISORO,293661,96,94,83,91
57,KITGUM,211045,85,82,81,85
58,KOBOKO,222916,90,85,79,90
59,KOLE,254395,83,78,73,82
60,KOTIDO,193196,125,74,108,121
61,KUMI,254333,96,78,82,94
62,KWEEN,98986,117,88,104,116
63,KYANKWANZI,235798,96,83,80,93
64,KYEGEGWA,327286,80,76,70,69
65,KYENJOJO,455778,93,91,84,89
66,LAMWO,137896,115,90,101,113
67,LIRA,431213,98,90,84,101
68,LUUKA,248122,118,95,98,115
69,LUWERO,479155,106,96,94,96
70,LWENGO,281035,104,87,93,94
71,LYANTONDE,99270,124,141,110,145
72,MANAFWA,371737,142,117,120,139
73,MARACHA,193654,102,83,112,94
74,MASAKA,310216,93,116,83,88
75,MASINDI,307644,86,83,83,84
76,MAYUGE,503035,85,92,70,77
77,MBALE,520754,118,128,117,110
78,MBARARA,493653,89,89,82,83
79,MITOOMA,187502,105,93,98,98
80,MITYANA,340913,97,99,94,87
81,MOROTO,108456,105,72,101,94
82,MOYO,131336,89,76,83,87
83,MPIGI,262719,106,96,91,100
84,MUBENDE,740179,110,113,93,96
85,MUKONO,631921,87,87,81,84
86,NAKAPIRIPIRIT,171437,139,109,113,131
87,NAKASEKE,209389,104,131,89,101
88,NAKASONGOLA,192871,78,67,66,72
89,NAMAYINGO,229896,127,109,110,161
90,NAMUTUMBA,270028,114,126,100,111
91,NAPAK,147680,152,119,155,146
92,NEBBI,423415,99,96,80,92
93,NGORA,149978,111,92,103,108
94,NTOROKO,70123,154,127,117,147
95,NTUNGAMO,503388,85,72,70,77
96,NWOYA,161249,89,65,77,82
97,OTUKE,113413,133,126,121,119
98,OYAM,407008,103,105,95,100
99,PADER,184832,173,148,169,168
100,PALLISA,414446,98,87,78,94
101,RAKAI,537168,97,91,79,90
102,RUBIRIZI,134367,122,88,105,118
103,RUKUNGIRI,321655,92,109,80,86
104,SSEMBABULE,266940,120,100,101,118
105,SERERE,309233,96,85,77,95
106,SHEEMA,212349,74,79,68,74
107,SIRONKO,253206,120,88,116,113
108,SOROTI,318590,96,85,79,93
109,TORORO,544320,97,94,88,91
110,WAKISO,2269778,74,56,71,70
111,YUMBE,539619,71,45,68,69
112,ZOMBO,254209,102,96,98,92
