district,gap
ABIM,8
ADJUMANI,16
AGAGO,2
ALEBTONG,3
AMOLATAR,7
AMUDAT,2
AMURIA,19
AMURU,16
APAC,3
ARUA,6
BUDAKA,5
BUDUDA,1
BUGIRI,11
BUHWEJU,2
BUIKWE,5
BUKEDEA,10
BUKOMANSIMBI,4
BUKWO,2
BULAMBULI,4
BULIISA,9
BUNDIBUGYO,9
BUSHENYI,3
BUSIA,14
BUTALEJA,5
BUTAMBALA,6
BUVUMA,9
BUYENDE,9
DOKOLO,1
GOMBA,2
GULU,22
HOIMA,6
IBANDA,7
IGANGA,0
ISINGIRO,10
JINJA,2
KAABONG,3
KABALE,3
KABAROLE,10
KABERAMAIDO,3
KALANGALA,18
KALIRO,7
KALUNGU,2
KAMPALA,18
KAMULI,6
KAMWENGE,6
KANUNGU,6
KAPCHORWA,3
KASESE,13
KATAKWI,10
KAYUNGA,9
KIBAALE,10
KIBOGA,2
KIBUKU,3
KIRUHURA,6
KIRYANDONGO,19
KISORO,2
KITGUM,4
KOBOKO,1
KOLE,-3
KOTIDO,2
KUMI,5
KWEEN,3
KYANKWANZI,8
KYEGEGWA,4
KYENJOJO,14
LAMWO,6
LIRA,4
LUUKA,8
LUWERO,13
LWENGO,9
LYANTONDE,6
MANAFWA,25
MARACHA,7
MASAKA,9
MASINDI,2
MAYUGE,11
MBALE,15
MBARARA,8
MITOOMA,2
MITYANA,6
MOROTO,8
MOYO,4
MPIGI,8
MUBENDE,12
MUKONO,4
NAKAPIRIPIRIT,12
NAKASEKE,3
NAKASONGOLA,5
NAMAYINGO,19
NAMUTUMBA,-13
NAPAK,-2
NEBBI,10
NGORA,4
NTOROKO,14
NTUNGAMO,11
NWOYA,5
OTUKE,6
OYAM,6
PADER,13
PALLISA,6
RAKAI,7
RUBIRIZI,10
RUKUNGIRI,4
SSEMBABULE,3
SERERE,2
SHEEMA,3
SIRONKO,14
SOROTI,6
TORORO,6
WAKISO,5
YUMBE,2
ZOMBO,15
